,Strategy,Portfolio,Alpha,Alpha_t,Alpha_p,R2,Adj_R2,MKT,MKT_t,MKT_p,SMB,SMB_t,SMB_p,HML,HML_t,HML_p,RMW,RMW_t,RMW_p,CMA,CMA_t,CMA_p,Strategy_Portfolio
10,NeuralNetwork_train,Group_1,-0.012084961350933886,-6.146881512884731,7.902111235531495e-10,0.8797434679891118,0.8672167459046443,1.0487121237924588,27.638706860994773,3.81493552917759e-168,0.8309774329380742,5.568414715477392,2.5706739715499202e-08,-0.13131036212201364,-0.5952522951410287,0.5516748386725506,-0.3457743512753501,-2.4762341135107717,0.013277648124411888,0.16312238279788246,0.41407485868142263,0.6788192845224862,NeuralNetwork_train_Group_1
11,NeuralNetwork_train,Group_2,-0.0007364143877125335,-0.3267071332358153,0.7438894045299571,0.8687440210561659,0.8550715232495165,0.9384638279828259,24.570507708535843,2.6114484183847637e-133,0.6046483024185361,4.121274628014646,3.767819506974407e-05,-0.07191036258387193,-0.3680980609635681,0.7128001166730923,-0.2913548775378716,-1.4085104549195244,0.15897997335893443,0.30302433226199854,0.9980472784771017,0.3182564334094219,NeuralNetwork_train_Group_2
12,NeuralNetwork_train,Group_3,0.0003124274293134809,0.1413598313856586,0.8875856854713939,0.859710168982335,0.8450966449179949,0.9645356050449686,34.04769834973389,4.389948953398577e-254,0.6180037948408409,3.6863395294178627,0.00022750278332368535,-0.054913212082867716,-0.2799099896794235,0.7795465628092021,-0.1921513778168801,-0.9777180314131082,0.32821380115073895,0.2851340137929065,0.8674807145213396,0.38567867408319356,NeuralNetwork_train_Group_3
13,NeuralNetwork_train,Group_4,0.0023607618323108577,1.0637431206591965,0.2874450845578771,0.8700621811042469,0.8565269916359393,0.9587220650403807,38.89570596748351,0.0,0.6370020915364315,4.210643134129504,2.5464472548432458e-05,-0.054953658166789404,-0.30181504346085813,0.7627930623237701,-0.17493436259351258,-0.8269490573662461,0.4082659361696298,0.25684464791995903,0.9903662263455606,0.32199514710181243,NeuralNetwork_train_Group_4
14,NeuralNetwork_train,Group_5,0.004419521310075588,1.6184495686537965,0.10556574687899165,0.8557634837092196,0.8407388465955966,0.9183233004352391,24.582013104584135,1.9673329525783115e-133,0.6198968366472355,3.845371971717931,0.0001203697003809538,-0.1631058842466252,-0.9871635395203617,0.3235624727080251,-0.19178345118580883,-0.7275312047842059,0.46690060669156985,0.22519570090063146,0.942794374954608,0.34578608947265554,NeuralNetwork_train_Group_5
15,NeuralNetwork_test,Group_1,-0.007072122257605939,-1.4164281874764186,0.15665017592302805,0.9009348564867282,0.882589459539826,1.5205398751158552,4.723050112335125,2.323335714603646e-06,0.5249473955877992,3.4319799858665996,0.0005991917759875293,-0.18402952548022614,-0.7904023984646759,0.42929280193776576,0.458971557542688,1.6994245040637874,0.08923922820473376,0.7059299467305454,2.2239490070058805,0.02615187529111557,NeuralNetwork_test_Group_1
16,NeuralNetwork_test,Group_2,-0.003042481603069274,-0.5384589233972734,0.5902602562552406,0.8845118386628164,0.8631251421188935,1.6356223090975437,5.028998720450965,4.930476811778442e-07,0.5262643497806125,4.331235868577654,1.4827474096055698e-05,0.287606390652986,0.8466809044317111,0.3971730051396596,0.6045483335787544,1.4977698064715592,0.13419306802814499,0.4445246508010506,0.9655209459923714,0.3342839498873271,NeuralNetwork_test_Group_2
17,NeuralNetwork_test,Group_3,-0.003341219672578937,-0.6335518285847408,0.5263733466266654,0.8891108070436201,0.8685757713109572,1.6049405964087602,5.5022930388387445,3.748831727029211e-08,0.5382472050535041,4.793703776338366,1.637299838674604e-06,0.28589566849341774,0.8631132119892236,0.3880752244905451,0.5160523937932742,1.238096778612392,0.21568017821708863,0.3493628775431804,0.774635938106158,0.4385548151020858,NeuralNetwork_test_Group_3
18,NeuralNetwork_test,Group_4,-0.0023723567436301925,-0.471927377597946,0.6369786257473621,0.8928643458787564,0.873024409930378,1.5565539429252502,6.204503231327116,5.486994618292394e-10,0.5756427686415415,5.571309784921018,2.5283130518802933e-08,0.312771976549328,1.046338302586054,0.2954048671901284,0.5085241570451747,1.217863134121899,0.22327598770928292,0.28863253545289247,0.6829903793325676,0.49461292178601524,NeuralNetwork_test_Group_4
19,NeuralNetwork_test,Group_5,-0.00429326252388539,-0.6587389804432277,0.5100633970352879,0.885842913781864,0.8647027126303573,1.546725002424023,6.568648214081563,5.0774078310331714e-11,0.71188990300469,5.134084111160332,2.835212878585882e-07,0.3657255407740584,1.1347467094039556,0.25648146032356123,0.38733080684533905,0.8978946845533446,0.36924169875429425,0.10490642102219147,0.22634422488273664,0.8209337042781759,NeuralNetwork_test_Group_5
